round,cumulative_samples,distinct_seen,posterior_mean_full_uniform,posterior_mean_full_dirichlet,posterior_mean_joint_c_alpha_c,posterior_mean_joint_c_alpha_alpha,true_m,occupancy_counts_desc
98,588,9,9.0,9.889495672448385,10.267459376557046,0.43825557612390154,9,311 110 69 34 23 13 13 10 5
99,594,9,9.0,9.885309076367374,10.26104900511133,0.4395898817819755,9,314 110 71 34 23 14 13 10 5
100,600,9,9.0,9.881178156713714,10.253031034888904,0.4415611505575863,9,317 112 71 34 23 14 13 11 5
101,606,9,9.0,9.877101708907714,10.254425787432684,0.4398834942861716,9,320 114 71 35 23 14 13 11 5
102,612,9,9.0,9.873078564355323,10.244432751274193,0.4426707588711593,9,322 116 71 35 24 15 13 11 5
103,618,9,9.0,9.86910758908297,10.233150267550698,0.44599771505691443,9,325 117 71 35 24 17 13 11 5
104,624,9,9.0,9.865187682428388,10.223971878408067,0.44853524697332653,9,327 118 71 37 24 18 13 11 5
105,630,9,9.0,9.861317775797701,10.218380677527627,0.4496470927334981,9,332 118 71 37 24 18 13 12 5
106,636,9,9.0,9.857496831470431,10.222609441150896,0.44687396751098213,9,336 119 72 37 24 18 13 12 5
107,642,9,9.0,9.85372384146753,10.22522655820551,0.4447714801042899,9,339 120 74 37 24 18 13 12 5
108,648,9,9.0,9.849997826463104,10.216370932451843,0.447214598662946,9,342 120 75 38 24 18 14 12 5
109,654,9,9.0,9.846317834750405,10.220473142145813,0.44454799672006146,9,345 123 75 38 24 18 14 12 5
110,660,9,9.0,9.842682941243877,10.215276360989963,0.44556976528739006,9,348 124 75 39 24 19 14 12 5
111,666,9,9.0,9.83909224653593,10.218581974443754,0.44325216914998694,9,352 124 77 39 24 19 14 12 5
112,672,9,9.0,9.835544875988246,10.21835262950913,0.4423469064764477,9,353 125 81 39 24 19 14 12 5
113,678,9,9.0,9.832039978859955,10.218395770473865,0.44134711931511494,9,355 127 82 40 24 19 14 12 5
114,684,9,9.0,9.828576727479081,10.223718278702577,0.4383048996833176,9,360 128 82 40 24 19 14 12 5
115,690,9,9.0,9.825154316446714,10.224247861792216,0.4371456817025717,9,365 128 82 40 25 19 14 12 5
116,696,9,9.0,9.821771961868063,10.212979723919059,0.44057232745328617,9,368 128 82 40 27 20 14 12 5
117,702,9,9.0,9.818428900630895,10.214768421722775,0.4389409481449678,9,370 130 84 40 27 20 14 12 5
118,708,9,9.0,9.815124389689801,10.202611582478244,0.44274266455416467,9,372 131 85 40 28 20 14 13 5
119,714,9,9.0,9.811857705407604,10.205759837513677,0.44059019132176747,9,375 133 86 40 28 20 14 13 5
120,720,9,9.0,9.808628142907082,10.208379281154496,0.43866404167817313,9,380 133 86 41 28 20 14 13 5
